route_id,trip_id,trip_headsign,direction_id,shape_id,route_short_name,route_long_name,route_type,route_color,route_desc
100024,770790029,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790039,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790049,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790059,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790069,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790079,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790089,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790099,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790139,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790149,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790159,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790169,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790179,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790189,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790199,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790229,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790239,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790249,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790259,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790269,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790359,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790369,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790379,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790569,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790609,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790639,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790649,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770790659,Downtown Seattle South Seattle College,1.0,10125009,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770803179,Downtown Seattle South Seattle College,1.0,10125009,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770803199,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770803209,Downtown Seattle South Seattle College,1.0,10125009,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770803219,Downtown Seattle South Seattle College,0.0,21125001,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770803249,Downtown Seattle South Seattle College,1.0,10125013,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100024,770803269,Downtown Seattle South Seattle College,1.0,10125009,125,Westwood Vill - S Seattle Coll - Downtown Seattle,3,FDB71A,Westwood Vill - S Seattle Coll - Downtown Seattle
100337,770847149,Downtown Seattle Water Taxi,1.0,10975001,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847159,Downtown Seattle Water Taxi,1.0,10975001,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847169,Downtown Seattle Water Taxi,1.0,10975001,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847179,Vashon Island Water Taxi,0.0,21975002,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847189,Vashon Island Water Taxi,0.0,21975002,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847199,Vashon Island Water Taxi,0.0,21975002,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847209,Vashon Island Water Taxi,0.0,21975002,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847219,Downtown Seattle Water Taxi,1.0,10975001,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847229,Downtown Seattle Water Taxi,1.0,10975001,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
100337,770847239,Vashon Island Water Taxi,0.0,21975002,975,Water Taxi: Vashon Island - Downtown Seattle,4,32CD32,Water Taxi: Vashon Island - Downtown Seattle
